organisationCapability,organisationId,itemId,detailedItemId,capabilityType,validationDate,sectorMappingId
OC-017871,001ON00000OCSN8,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017873,001ON00000OCSNA,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017874,001ON00000OCSNB,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017876,001ON00000OCSNC,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017877,001ON00000OCSND,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017878,001ON00000OCSNE,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017882,001ON00000OCSNF,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017883,001ON00000OCSNG,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017886,001ON00000OCSNI,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017888,001ON00000OCSNJ,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017890,001ON00000OCSNK,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017892,001ON00000OCSNL,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017893,001ON00000OCSNM,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017897,001ON00000OCSNN,ITM-009904,DITM-000512,Assembler,2025-06-01,SM-000484
OC-017901,001ON00000OCSNO,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017905,001ON00000OCSNP,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017906,001ON00000OCSNQ,ITM-009904,DITM-000512,Assembler,2025-06-01,SM-000484
OC-017910,001ON00000OCSNR,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017911,001ON00000OCSNS,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017912,001ON00000OCSNT,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017915,001ON00000OCSNU,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
